problem_id;pl;country;score
0;cpp;Slovakia;15.00;1
0;cpp;Korea, Republic of;15.00;5
0;cpp;Macedonia;15.00;2
0;cpp;Norway;15.00;1
0;cpp;Jordan;15.00;5
0;cpp;Ghana;15.00;1
0;cpp;Nigeria;15.00;1
0;cpp;Cambodia;15.00;1
0;cpp;Andorra;15.00;3
0;cpp;Bosnia and Herzegovina;15.00;2
0;cpp;Venezuela, Bolivarian Republic of;15.00;1
0;cpp;Myanmar;15.00;1
0;cpp;Lebanon;15.00;5
0;cpp;Estonia;15.00;1
0;cpp;Algeria;15.00;2
0;cpp;Puerto Rico;15.00;1
0;cpp;Palestine;15.00;1
0;cpp;Latvia;15.00;1
0;cpp;Trinidad and Tobago;15.00;2
0;cpp;Cameroon;15.00;1
0;cpp;India;13.50;71
0;cpp;Russia;13.50;1
0;cpp;Belarus;13.50;1
0;cpp;United States;13.50;6
0;cpp;Poland;13.50;1
0;cpp;Brazil;13.50;1
0;cpp;Singapore;13.50;1
0;cpp;Italy;13.50;1
0;cpp;Peru;13.50;1
0;cpp;Mexico;13.50;2
0;cpp;Bangladesh;13.50;2
0;cpp;Kazakhstan;13.50;1
0;cpp;Germany;13.50;1
0;cpp;Estonia;13.50;1
0;cpp;Nepal;13.50;1
0;cpp;Russian Federation;13.50;1
0;cpp;United Kingdom;13.50;1
0;cpp;Mauritius;13.50;1
0;cpp;Lithuania;13.50;1
0;cpp;Argentina;13.50;1
0;cpp;China;13.50;2
0;cpp;Republic of Korea;13.50;1
0;cpp;India;12.30;77
0;cpp;Vietnam;12.30;1
0;cpp;United States;12.30;4
0;cpp;Japan;12.30;1
0;cpp;Morocco;12.30;1
0;cpp;Viet Nam;12.30;1
0;cpp;Canada;12.30;2
0;cpp;Egypt;12.30;2
0;cpp;Bangladesh;12.30;4
0;cpp;South Korea;12.30;1
0;cpp;Poland;12.30;1
0;cpp;Germany;12.30;1
0;cpp;Pakistan;12.30;2
0;cpp;Indonesia;12.30;1
0;cpp;United Arab Emirates;12.30;1
0;cpp;India;11.70;73
0;cpp;Indonesia;11.70;3
0;cpp;United States;11.70;4
0;cpp;Bulgaria;11.70;1
0;cpp;Viet Nam;11.70;3
0;cpp;Vietnam;11.70;5
0;cpp;United Kingdom;11.70;1
0;cpp;Bangladesh;11.70;4
0;cpp;Japan;11.70;1
0;cpp;Georgia;11.70;1
0;cpp;Jordan;11.70;1
0;cpp;Australia;11.70;1
0;cpp;South Korea;11.70;1
0;cpp;Taiwan;11.70;1
0;cpp;India;11.40;86
0;cpp;United States;11.40;5
0;cpp;South Korea;11.40;1
0;cpp;Singapore;11.40;1
0;cpp;Bangladesh;11.40;2
0;cpp;Sri Lanka;11.40;1
0;cpp;Canada;11.40;1
0;cpp;Dominican Republic;11.40;1
0;cpp;Indonesia;11.40;1
0;cpp;Null;11.40;1
0;cpp;India;09.90;158
0;cpp;Armenia;09.90;1
0;cpp;Null;09.90;1
0;cpp;Brazil;09.90;1
0;cpp;Indonesia;09.90;3
0;cpp;Mexico;09.90;1
0;cpp;Vietnam;09.90;5
0;cpp;Russian Federation;09.90;2
0;cpp;Georgia;09.90;2
0;cpp;Serbia;09.90;1
0;cpp;Ukraine;09.90;1
0;cpp;Sri Lanka;09.90;2
0;cpp;Czechia;09.90;1
0;cpp;Turkey;09.90;1
0;cpp;Argentina;09.90;1
0;cpp;Romania;09.90;1
0;cpp;Palestinian Territory, Occupied;09.90;1
0;cpp;Jordan;09.90;1
0;cpp;United States;09.90;4
0;cpp;Bulgaria;09.90;1
0;cpp;Palestine;09.90;1
0;cpp;Poland;09.90;2
0;cpp;Andorra;09.90;1
0;cpp;Germany;09.90;1
0;cpp;Bangladesh;09.90;1
0;cpp;Egypt;09.90;2
0;cpp;Afghanistan;09.90;1
0;cpp;Oman;09.90;1
0;cpp;Taiwan;09.90;1
0;cpp;India;00.00;77
0;cpp;Ukraine;00.00;1
0;cpp;Russia;00.00;1
0;cpp;Ireland;00.00;1
